Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
GPS,29708,59.361417,18.049408,2.07,0.00,4
GPS,30186,59.361416,18.049412,2.07,0.28,4
GPS,30684,59.361416,18.049412,0.74,0.28,4
GPS,31182,59.361415,18.049408,0.74,0.17,4
GPS,31680,59.361415,18.049408,1.24,0.17,4
GPS,32188,59.361415,18.049405,1.24,0.21,4
GPS,32686,59.361415,18.049405,1.17,0.21,4
GPS,33184,59.361417,18.049393,1.17,0.80,4
GPS,33682,59.361417,18.049393,1.46,0.80,4
GPS,34200,59.361441,18.049429,1.46,2.98,4
GPS,34699,59.361441,18.049429,1.37,2.98,4
GPS,35206,59.361433,18.049450,1.37,3.06,4
GPS,35704,59.361433,18.049450,1.56,3.06,4
GPS,36202,59.361431,18.049449,1.56,2.79,4
GPS,36701,59.361431,18.049449,1.30,2.79,4
GPS,37208,59.361429,18.049451,1.30,2.83,4
GPS,37715,59.361429,18.049451,1.13,2.83,4
GPS,38213,59.361428,18.049446,1.13,2.51,4
GPS,38750,59.361428,18.049446,0.76,2.51,4
GPS,39219,59.361429,18.049438,0.76,2.22,8
GPS,39756,59.361429,18.049438,0.00,2.22,8
GPS,40225,59.361432,18.049402,0.00,1.66,9
GPS,40772,59.361432,18.049402,0.00,1.66,9
GPS,41221,59.361436,18.049339,0.00,4.45,9
GPS,41768,59.361436,18.049339,0.00,4.45,9
IMU,29219,45,756,710,-5,5,-9
IMU,29229,37,753,706,-4,5,-9
IMU,29239,35,752,716,-5,4,-9
IMU,29249,29,748,718,-4,4,-8
IMU,29258,33,750,711,-5,3,-7
IMU,29268,34,749,723,-5,3,-7
IMU,29278,32,758,716,-5,2,-6
IMU,29288,80,766,724,-4,2,-6
IMU,29297,60,760,732,-5,3,-7
IMU,29307,40,754,716,-5,2,-6
IMU,29317,59,758,739,-5,1,-6
IMU,29327,13,758,712,-5,1,-5
IMU,29336,51,770,739,-6,0,-3
IMU,29346,94,766,716,-5,1,-5
IMU,29356,50,763,726,-5,2,-6
IMU,29366,56,759,721,-5,1,-6
IMU,29375,27,769,733,-5,1,-6
IMU,29385,19,758,715,-5,0,-5
IMU,29395,62,766,738,-5,1,-5
IMU,29405,66,752,713,-5,1,-6
IMU,29415,45,754,744,-4,2,-6
IMU,29424,41,740,728,-5,3,-7
IMU,29434,37,752,738,-5,2,-7
IMU,29444,40,751,721,-5,2,-7
IMU,29454,53,758,742,-5,3,-8
IMU,29463,46,755,710,-5,3,-8
IMU,29473,25,755,735,-5,3,-8
IMU,29483,28,756,720,-6,3,-8
IMU,29493,21,763,741,-5,3,-8
IMU,29502,32,760,752,-5,3,-8
IMU,29512,39,767,763,-5,3,-8
IMU,29522,16,759,745,-5,3,-8
IMU,29532,18,769,745,-5,3,-7
IMU,29541,36,772,727,-5,3,-7
IMU,29551,29,787,731,-4,3,-8
