Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
GPS,4359,59.416851,17.982303,0.00,0.13,6
GPS,4847,59.416851,17.982303,0.00,0.13,6
GPS,5365,59.416852,17.982304,0.00,0.23,6
GPS,5853,59.416852,17.982304,0.00,0.23,6
GPS,6361,59.416853,17.982305,0.00,0.32,6
GPS,6849,59.416853,17.982305,0.00,0.32,6
GPS,7367,59.416854,17.982305,0.00,0.47,6
GPS,7855,59.416854,17.982305,0.00,0.47,6
GPS,8363,59.416855,17.982305,0.00,0.54,6
GPS,8851,59.416855,17.982305,0.00,0.54,6
GPS,9359,59.416854,17.982306,0.00,0.53,6
GPS,9857,59.416854,17.982306,0.00,0.53,6
GPS,10365,59.416854,17.982307,0.00,0.52,6
GPS,10853,59.416854,17.982307,0.00,0.52,6
GPS,11371,59.416856,17.982307,0.00,0.67,6
GPS,11859,59.416856,17.982307,0.00,0.67,6
GPS,12367,59.416857,17.982307,0.00,0.81,6
GPS,12855,59.416857,17.982307,0.00,0.81,6
GPS,13363,59.416858,17.982307,0.00,0.94,6
GPS,13851,59.416858,17.982307,0.00,0.94,6
GPS,14359,59.416860,17.982305,0.00,1.10,6
GPS,14857,59.416860,17.982305,0.00,1.10,6
GPS,15365,59.416861,17.982306,0.00,1.22,6
GPS,15853,59.416861,17.982306,0.00,1.22,6
GPS,16361,59.416863,17.982304,0.00,1.45,6
IMU,3861,-26,327,1024,-6,-4,0
IMU,3871,-26,325,1024,-6,-4,0
IMU,3880,-27,325,1023,-6,-4,0
IMU,3890,-27,324,1023,-6,-4,0
IMU,3900,-27,324,1022,-6,-4,0
IMU,3910,-26,325,1022,-6,-4,0
IMU,3919,-27,325,1024,-6,-4,0
IMU,3929,-28,325,1020,-6,-4,0
IMU,3939,-28,324,1022,-6,-4,0
IMU,3949,-28,324,1025,-6,-4,0
IMU,3958,-27,324,1020,-6,-4,0
IMU,3968,-26,325,1021,-6,-4,0
IMU,3978,-28,327,1021,-6,-4,0
IMU,3988,-29,326,1023,-6,-4,0
IMU,3998,-29,324,1024,-6,-4,0
IMU,4007,-28,324,1022,-6,-4,0
IMU,4017,-26,325,1024,-6,-4,0
IMU,4027,-27,325,1023,-6,-4,0
IMU,4037,-28,325,1023,-6,-4,0
IMU,4046,-27,326,1023,-6,-4,0
IMU,4056,-27,326,1022,-6,-4,0
IMU,4066,-25,327,1023,-6,-4,0
IMU,4076,-26,324,1024,-6,-4,0
IMU,4085,-27,326,1024,-6,-4,0
IMU,4095,-28,327,1024,-6,-4,0
IMU,4105,-28,326,1024,-6,-4,0
IMU,4115,-28,326,1024,-6,-4,0
IMU,4125,-26,324,1024,-6,-4,0
IMU,4134,-26,323,1022,-6,-4,0
IMU,4144,-27,325,1025,-6,-4,0
